Название тура,Регион,Сезон,Кол-во туристов,Длительность,Цена,Оценка
Вулканы Камчатки,Камчатка,Лето,4,18,365584.0,4
Пробуждение природы в Санкт-Петербурге,Санкт-Петербург,Весна,1,18,61840.0,5
Ольхон — сердце Байкала,Байкал,Лето,13,19,1115530.0,2
Золотая осень в Карелии,Карелия,Осень,8,10,337920.0,3
Байкал и Саяны. С восхождением на пик Любви,Байкал,Лето,12,17,933960.0,4
Кострома и ее усадьбы: время путешествий,Костромская область,Осень,11,20,710160.0,5
Кострома и ее усадьбы: время путешествий,Костромская область,Осень,9,15,458280.0,4
Зеленая весна в Краснодаре,Краснодарский край,Весна,12,6,318719.99999999994,2
Природа и культура Вологодчины,Вологодская область,Зима,2,8,63296.0,2
Большое путешествие по Смоленской земле,Смоленская область,Осень,10,6,263680.0,4
Дагестан стал ближе,Дагестан,Зима,10,19,684250.0,5
Весенние круизы по Волге ,Приволжский федеральный округ,Весна,2,8,62240.0,4
Сказочная осень в Татарстане,Татарстан,Осень,7,11,289604.0,3
Цветущий Сочи: весенние выходные на Черном море,Краснодарский край,Весна,9,16,487440.0,4
Ольхон — сердце Байкала,Байкал,Лето,4,10,199600.0,3
Водный мир Приладожья,Карелия,Лето,11,14,642532.0,3
Кочевники Байкала,Байкал,Лето,8,13,494960.0,5
Я шагаю по Москве. Сокращённая программа,Москва,Зима,10,6,254980.0,3
От бурного Терека до седого Каспия,Кавказ,Зима,12,9,465384.0,3
Горнолыжка для начинающих. Активный тур на Домбай,Домбай,Зима,8,19,566096.0,4
Золотая моя Казань. Летний тур на 3 дня,Татарстан,Лето,13,9,487903.0,4
Весна в Карелии: природа и культура,Карелия,Весна,14,6,402080.0,3
Все краски Байкала. Поход на байдарках вокруг полуострова Святой Нос,Байкал,Лето,10,16,738400.0,5
Невская улица: гастрономический тур по Санкт-Петербургу,Санкт-Петербург,Осень,2,9,73568.0,5
Большое путешествие по Смоленской земле,Смоленская область,Осень,5,17,281880.0,5
Ольхон — сердце Байкала,Байкал,Лето,9,15,628650.0,4
